National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2010-1124336,10Pp10SepWI-04,10NWR09030,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Strait of San de Fuca, NASWI, Rocky Point",48.198,decimal degrees,estimate,122.35,estimate,Map,N,CBD,2010-SEP-10,2010,SEP,10,Beach or Land,,Moderate Decomposition,N,2010-SEP-10,2010,SEP,10,Moderate Decomposition,N,FEMALE,PUP/CALF,92.5,cm,actual,22.3,lb,actual,Y,limited,frozen,2010-OCT-24,2010,OCT,24,Norman et al,Matt Klope received a call about a dead harbor porpoise on Navy property near Rocky point. He picked up the carcass the next day and froze it for necropsy. The necropsy was performed on 10/24/10 by Dr. Stephanie Norman et al. There was extensive damage to the skin from rolling around in the surf. Widespread scavenging around the mandible. The epidermis was sloughing. The right eye was gone. The carcass was in code 3-4 decomposition. A cursory internal exam was made with nothing unusual noted. The COD is unknown. The skull was retained for educational purposes. Photos were taken at necropsy.,Matt Klope
NW-2007-1071163,07Pd22OctWI-01,07NWR10048,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Saratoga Passage,"5916 Hastings Rd, Clinton",47.992,decimal degrees,actual,122.37,actual,GPS,N,CBD,2007-OCT-22,2007,OCT,22,Beach or Land,,Fresh Dead,N,2007-OCT-22,2007,OCT,22,Fresh Dead,N,UNKNOWN,UNKNOWN,32,in,estimate,10,lb,actual,N,,,,,,,,"Susan Berta received a call from Dianne Clark Dewitt of 5976 Hastings Rd, Clinton, reporting what looked like an orca fin on her beach. Seeing dogs around it she dragged it up onto her lawn. SB and SD responded and found a rounded triangular shape, slab-like, black and white specimen that may have been part of an orca or Dall's porpoise. The specimen measured 86 cm at its longest dimension by 60 cm at the widest part. Thickness ranged from 1cm to 3 cm approximately. The top surface had a white patch surrounded on two sides by a shiny black border ranging from 5 to 8"" wide approx. The underside showed some muscle tissue. The blubber layer, at its thickest part measured 2.5 cm. There were 3 small bones stuck to the underside. One was pulled out an measured approx. 6"" in length. On one side of the specimen there were 4 semi-circular notches or bites and in one corner there was a short, clean, knife-like cut. The specimen was collected, bagged with ice and delivered to Brad Hanson for identification. Upon initial visual exam Brad Hanson determined the specimen to be a portion of the underside of a Dall's porpoise.","Susan Berta, CPSMMSN"
NW-2006-1061047,06Pp01MarFI-01,BLANKNW17579,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Anacortes,Skagit,WA,,"15077 Deception Road, Dewey Beach area, Similk Bay, Anacortes",48.25422,deg/min/sec,actual,122.37,actual,GPS,N,CBD,2006-FEB-28,2006,FEB,28,Beach or Land,,Moderate Decomposition,N,2006-MAR-02,2006,MAR,2,Moderate Decomposition,N,FEMALE,ADULT,177,cm,actual,150,lb,estimate,N,,,,,,,,"Porpoise lying on her left side in wood chips and leaf debris at the mouth of a creek that drains from Lake Campbell into Similk Bay. Both eyes are missing. The top of the dorsal fin, right fore flipper and right tail fluke appear to be worn off, possibly for storm action on cobble and sand. the left fore flipper and left tail fluke are intact, from being buried in the wood and leaf debris. No other signs of trauma on the body. Retrieved the carcass and transported to NMFS per Dr. Stephanie Norman, and with help from Lynne Barre and Brent Norberg, placed the carcass in the walk in freezer at NOAA.",
NW-2006-1055769,06PpMarFI-01,06NWR02007,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Fidalgo Island,Skagit,WA,Puget Sound,Similk Bay; Dewey Beach area,48.25422,deg/min/sec,actual,122.37,actual,GPS,N,CBD,2006-FEB-28,2006,FEB,28,Beach or Land,,Moderate Decomposition,N,2006-MAR-01,2006,MAR,1,Moderate Decomposition,N,FEMALE,ADULT,177.8,cm,actual,,,,NA,,,,,,,,,
NW-2008-1082377,08Pp21SepWI-01,08NWR09018,"Porpoise, harbor",Phocoena,phocoena,Validated,Susan Berta,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,,Island,WA,Pacific Ocean,"Puget Sound, Lagoon Point, just NW of north beach access and boat launch",48.04807,decimal degrees,actual,122.37,actual,GPS,N,CBD,2008-SEP-21,2008,SEP,21,,,Fresh Dead,N,2008-SEP-21,2008,SEP,21,Fresh Dead,N,UNKNOWN,SUBADULT,112,cm,actual,30,lb,estimate,N,,,,,,,,"CPSMMSN volunteer, Lynn Schmidt, called at approximately 6 pm reporting a dead harbor porpoise at Lagoon Point. It was on the beach just NW of the Lagoon Point boat ramp. She pulled it above the tide level and Howard Garrett and Susan Berta responded to collect the carcass. It appeared to be fairly fresh and intact, with some scavenging around the right eye and jaw area (Lynn remarked that the scavenging occurred after she had initially examined the animal several hours earlier. ) The carcass also had small scavenging marks on the skin near the fluke area from a swarm of yellow jacket bees that were on the carcass. We bagged the carcass and delivered it to the CPSMMSN freezer at S. Dubpernell's for future necropsy. Necropsy Report Results: ""The proximate cause of death of this animal is attributed to the bronchopneumonia and intralesional coccobacilli. Aerobic cultures of the lungs yielded heavy growth of Actinomyces sp and E. Coli, the former which is considered significant."" ""Actinomycosis is a widespread, noncontagious condition recognized in humans and terrestrial animals and this may be among the first isolates from a harbor porpoise in the Pacific Northwest.""",Howard Garrett
NW-2006-1060961,06Pp01JulFI-02,06NWR07064,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Klope,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Anacortes,Skagit,WA,Strait of Juan de Fuca,"Bowmans Bay, Deception Pass State Park",48.25018,decimal minutes,actual,122.37,actual,GPS,N,N,2006-JUN-01,2006,JUN,1,Beach or Land,,Mummified/Skeletal,N,2006-JUN-01,2006,JUN,1,Mummified/Skeletal,N,UNKNOWN,UNKNOWN,136,cm,actual,0,kg,estimate,N,,,,,,,,,
NW-2005-1053091,2005-SJ122,05NWR11011,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,Whale Museum,Whale Museum,NW,Guemes Island,San Juan,WA,Puget Sound,.5 mile E of ferry dock,48.35,deg/min/sec,estimate,122.37,estimate,Internet,N,CBD,2005-NOV-19,2005,NOV,19,Beach or Land,,Advanced Decomposition,N,2005-NOV-19,2005,NOV,19,Advanced Decomposition,N,UNKNOWN,SUBADULT,131,cm,actual,,,,N,,,,,,,,,
NW-2006-1058413,CRC712,06NWR05034,"Whale, fin",Balaenoptera,physalus,Validated,Cascadia Research,Cascadia Research,Cascadia Research,NW,Lummi Island,Whatcom,WA,Puget Sound,,48.45625,deg/min/sec,actual,122.40,actual,GPS,N,Y,2006-MAY-14,2006,MAY,14,Floating,,Fresh Dead,N,2006-MAY-16,2006,MAY,16,Moderate Decomposition,N,MALE,ADULT,1690,cm,actual,,,,Y,,,2006-MAY-16,2006,MAY,16,"CRC, Raverty, WDFW","first reported floating near Lummi Island; towed to Portage Island for necropsy; skin largely intact, losing skin on caudal peduncle due to towing",
NW-2010-1104745,10Er07JanWI-01,10NWR01004,"Whale, gray",Eschrichtius,robustus,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Strait ofSan de fuca,off NASWI, near Norwester Club (west side of Whidbey Island)",48.205,decimal degrees,estimate,122.41,estimate,Map,N,CBD,2010-JAN-07,2010,JAN,7,Floating,,Moderate Decomposition,Y,2010-JAN-07,2010,JAN,7,Moderate Decomposition,N,UNKNOWN,UNKNOWN,768,cm,estimate,15000,lb,estimate,N,,,,,,,,"A gray whale carcass was reported floating off shore from NASWI. Approximately 10 feet of the carcass was observed above the surface,used as a resting place for gulls. Three hours later, the carcass was reported floating south past Rocky Point approximately 60 yards from the beach. Photos were taken. ""Knuckles"" can be seen in the photos. There also appeared to be some jagged lines or cuts on the side of the floating carcass. Possibly wounds? The carcass floated out of sight or sank, as there were no further sightings.",Rudy Deck
NW-2014-1168815,14Pp27OctSK-02,14NWR10008,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Anacortes,Skagit,WA,Pacific Ocean,"Bowman Bay, north shore west of Skyline Marina",48.293254,decimal degrees,actual,122.41,actual,GPS,N,CBD,2014-OCT-27,2014,OCT,27,Floating,,Fresh Dead,N,2014-OCT-27,2014,OCT,27,Fresh Dead,N,FEMALE,PUP/CALF,110,cm,actual,21.3,kg,actual,Y,complete,fresh,2014-OCT-30,2014,OCT,30,"Norman, Rickman et al","A dead porpoise was reported in Anacortes on 10/26/14 at 9:29 pm on the north shore of burrows Bay. Corrie Allen, SN volunteer, was able to locate the carcass on 10/27/14. He pulled it from the water, iced and bagged it and transported it to Freeland, Orca Network, where the necropsy will be performed. The porpoise was estimated to be 40"" long, intact except for 2 scavenging holes in its jaw. The left eye orbit showed peck holes. The carcass was held on ice until necropsy on Oct 30. The necropsy was performed by Dr. S. Norman, Dr. B. Rickman and several assistants. Carcass was code 2+ with a slight odor. The entire left side showed evidence of superficial scavenging. The submandibular and mediastinal lymph nodes were prominant. Muscles appeared to be slightly spongy. A 24 cm section of colon was dark red to black in color. Collected for anaerobic and aerobidc bacterial culture (Phoemix Lab). Brain: meninges of caudal portion of cerebellum showed areas of blackened hemorrhage. The overlying calvarium showed hemorrhage at the ventral midline. Swabbed for bacterial culture. Tissue samples collected for histopathlogy. Extra sections of blubber, liver and kidney collected for Baylor University toxin study. COD: unknown.","Corrie Allen, PhD"
NW-2006-1058403,06Pp04MayWI-01,06NWR05029,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer Organization,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,,.5 mile S of Rocky Point,48.1942,deg/min/sec,actual,122.42,actual,Internet,N,N,2006-MAY-04,2006,MAY,4,Beach or Land,,Fresh Dead,N,2006-MAY-04,2006,MAY,4,Moderate Decomposition,N,UNKNOWN,UNKNOWN,128,cm,actual,,,,NA,,,,,,,,,
NW-2010-1104743,10Pp17JanWI-01,10NWR01003,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Strait of Juan de Fuca, West Beach, southern end of Sunset Beach Community",48.17866,decimal degrees,actual,122.44,actual,GPS,N,CBD,2010-JAN-17,2010,JAN,17,Beach or Land,,Fresh Dead,N,2010-JAN-17,2010,JAN,17,Fresh Dead,N,FEMALE,YEARLING,95,cm,estimate,42.9,lb,actual,Y,complete,fresh,2010-JAN-17,2010,JAN,17,Norman et al,"Monem collected the very fresh carcass within an hour of the RP's call. An immediate necropsy was scheduled. The yearling, from external exam,was in good body and nutritional condition. The necropsy showed a very enlarged, unusual liver. The blubber layer was substantial. The stomach was empty. The colon contained hard greenish feces. The uterus contained 44.8 grams of rock-like pale yellow concretions (calculi) of unknown origin and composition. Complete sets of tissues were taken for histological exam. The concretions are to be identified.",Mahmoud Abdel-Monem
NW-2006-1060857,06Pp04AugWI-03,06NWR08037,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Coupeville,Island,WA,Admiralty Inlet,"Ebeys Landing, Perrigos Lagoon",48.12139,deg/min/sec,actual,122.44,actual,GPS,N,CBD,2006-AUG-04,2006,AUG,4,Beach or Land,,Fresh Dead,N,2006-AUG-04,2006,AUG,4,Fresh Dead,N,FEMALE,PUP/CALF,88,cm,actual,12.3,kg,actual,Y,,,2006-AUG-05,2006,AUG,5,Dr. Norman & S. Murphy,"No teeth erruption. Small portion of the umbilical cord still attached. Blood in mouth and behind right eye. Blow hole - has white foam coming from it. The carcass has superficial skin abrasions. Fluke folds present. Carcass was placed into freezer later in the evening 8-3, and removed before 10am on 8-4. The carcass was not yet frozen.",
NW-2006-1061013,06Pp05AugWH-02,06NWR08038,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Blaine,Whatcom,WA,Birch Bay,Jackson Road beach access.,48.54788,deg/min/sec,actual,122.45,actual,GPS,N,N,2006-AUG-05,2006,AUG,5,,,Alive,N,,,,,Fresh Dead,N,FEMALE,PUP/CALF,34,in,actual,22.7,lb,actual,Y,,,2006-AUG-09,2006,AUG,9,Norman & Murphy,,
NW-2007-1070283,2007-SJ081,07NWR08032,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Orcas Island,San Juan,WA,Rosario Straight,Private beach SE of Doe Bay Resort,48.3808,deg/min/sec,estimate,122.45,estimate,Map,N,CBD,2007-AUG-28,2007,AUG,28,Beach or Land,,Fresh Dead,N,2007-AUG-30,2007,AUG,30,Fresh Dead,N,FEMALE,PUP/CALF,83,cm,actual,9,kg,actual,Y,,,2007-SEP-10,2007,SEP,10,J Gaydos,,
NW-2006-1061019,06Pp11AugWH-03,06NWR08039,"Porpoise, harbor",Phocoena,phocoena,Validated,Sue Murphy,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Blaine,Whatcom,WA,Birch Bay,"Along Birch Bay Drive, just north of the Birch Bay - Lynden Road.",48.56246,deg/min/sec,actual,122.45,actual,GPS,N,CBD,2006-AUG-10,2006,AUG,10,Beach or Land,,Fresh Dead,N,2006-AUG-11,2006,AUG,11,Fresh Dead,N,FEMALE,ADULT,165,cm,actual,140,lb,actual,Y,,,2006-AUG-12,2006,AUG,12,Dr. S. Raverty,"I called B. Norberg on Cell phone 7:26pm, he authorized Dr. S. Raverty to take the Harbor Porpoise carcass to Canada. Dr. Raverty showed us (Mike & I) the hair fine blood colored worms coming from the Pp's blow hole. These worms were mixed in with bloody foam, also coming from the blow hole. Mike and I helped load the adult, female Pp into the back of Dr. Raverty's pickup truck for transport. No other visible signs of trauma on the carcass or fins. The pectoral fins were starting to peal from exposure. On 8-12-06, Dr. Raverty sent an e-mail stating that the Pp died of a severe fungal infection in her lungs due to Cryptococcus gattii. Dr. Raverty will have a more complete report on the Pp this next week. I called Lynne Barre, Dr. S. Norman, Susan B., Birch Bay State Park Ranger, Jason and the reporting party Nancy K., to notify them of the possible health hazard of the Harbor Porpoises. Also, if any other porpoises should show up in the area, to call me immediately. I advised the Park Personnel to use gloves, and a mask when in close contact with a marine mammal.",
NW-2016-1193814,16Pp09SepWH-4,16NWR09112,"Porpoise, harbor",Phocoena,phocoena,OPEN,Rick Wood,,Whatcom Marine Mammal Stranding Network,NW,Blaine,Whatcom,WA,Pacific Ocean,Blaine Harbor Marina by the northern end inlet,48.5932,decimal degrees,actual,122.45,actual,GPS,N,CBD,2016-SEP-09,2016,SEP,9,,,Moderate Decomposition,N,2016-SEP-09,2016,SEP,9,Moderate Decomposition,N,FEMALE,UNKNOWN,42,in,actual,85,lb,estimate,Y,,frozen,2016-NOV-21,2016,NOV,21,,Was used for necropsy training. and pectoral and mandible parts sent to Baylorfor Stephanie Norman's for bone density research project.,
NW-2008-1081447,08Pp15AprWH-08,08NWR04025,"Porpoise, harbor",Phocoena,phocoena,Validated,Central Puget Sound Mammal Stranding,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Blaine,Whatcom,WA,Pacific Ocean,At the end of Shintafter Rd. 200 yards into the the shallows of the bay.,49.5647,decimal degrees,actual,122.46,actual,GPS,N,CBD,2008-APR-15,2008,APR,15,,,Fresh Dead,Y,2008-APR-15,2008,APR,15,Fresh Dead,N,UNKNOWN,ADULT,67,in,actual,175,lb,estimate,N,,,,,,,,,
NW-2006-1060505,2006-SJ012,06NWR05046,"Porpoise, harbor",Phocoena,phocoena,Validated,Whale Museum,Whale Museum,Whale Museum,NW,Blakely Island,San Juan,WA,San Juan Channel,"Pravine Pass, On private beach just north of the south end of the airstrip",48.3404,deg/min/sec,estimate,122.49,estimate,Map,N,N,2006-MAY-22,2006,MAY,22,,,Fresh Dead,Y,,,,,,N,UNKNOWN,SUBADULT,91,cm,estimate,0,lb,estimate,N,,,,,,,,Carcass floated away before it could be examined.,"Amy Traxler, with the Whale Museum"
NW-2005-1049721,2005-SJ075,05NWR07086,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,Whale Museum,Whale Museum,NW,North Matia Island,San Juan,WA,Puget Sound,N of island,49.4505,deg/min/sec,estimate,122.50,estimate,Map,N,CBD,2005-JUL-31,2005,JUL,31,Floating,,Fresh Dead,N,2005-JUL-31,2005,JUL,31,Fresh Dead,N,FEMALE,ADULT,185,cm,actual,9.2,kg,actual,Y,,,2005-AUG-02,2005,AUG,2,"Gaydos, J.",,
NW-2007-1067679,2007-SJ010,07NWR04058,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Lopez Island,San Juan,WA,Strait of Juan de Fuca,Private beach in Hughes Bay,48.2507,deg/min/sec,estimate,122.50,estimate,Map,N,CBD,2007-APR-16,2007,APR,16,Beach or Land,,Fresh Dead,N,2007-APR-16,2007,APR,16,Fresh Dead,N,FEMALE,ADULT,165,cm,actual,,,,Y,,,2007-APR-18,2007,APR,18,J. Gaydos,"Even though fresh dead, this animal was heavily scavenged before responders could get to it. There really wasn't much left to sample during the necropsy, nor could it be determined whether there was any type of human interaction.",
NW-2013-1154725,13Pp26FebWH-22,13NWR02024,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Brown Carrasco,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Bellingham,Whatcom,WA,Pacific Ocean,Little Squalicum Beach;,48.765242,decimal degrees,actual,122.52,actual,GPS,N,Y,2013-FEB-26,2013,FEB,26,,,Fresh Dead,N,2013-FEB-26,2013,FEB,26,Fresh Dead,N,FEMALE,ADULT,130,cm,actual,79,lb,actual,Y,,,2013-FEB-28,2013,FEB,28,Dr. Mike Etnier,"The animal appeared to be in good condition. Small amounts of scavenger damage were evident on the right side of the body and around the right mandible and eye. Several small cuts were observed but none of them penetrated through the dermis and all appeared to be post-_&#8208;mortem. All organs appear normal. The stomach was empty. Muscle tone normal, no areas of bruising. Lymph nodes appear normal. This animal appears to be healthy and normal. Cause of death could not be determined. Please see attached necropsy report for further details.",
NW-2006-1061873,2006-SJ076,06NWR08017,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Amy Traxler,Whale Museum,Whale Museum,NW,Lopez Island,San Juan,WA,San Juan Islands,Mackaye Harbor community beach,48.2605,deg/min/sec,estimate,122.52,estimate,Map,N,N,2006-AUG-13,2006,AUG,13,Beach or Land,,Fresh Dead,N,2006-AUG-14,2006,AUG,14,Fresh Dead,N,MALE,PUP/CALF,90,cm,estimate,0,kg,estimate,N,,,,,,,,,
NW-2005-1053019,2005-SJ100,05NWR08075,"Porpoise, harbor",Phocoena,phocoena,Validated,Whale Museum,Whale Museum,Whale Museum,NW,Lopez Island,San Juan,WA,Puget Sound,Agate Beach County Park,48.2506,deg/min/sec,estimate,122.53,estimate,Internet,N,CBD,2005-AUG-25,2005,AUG,25,Floating,,Fresh Dead,N,2005-AUG-25,2005,AUG,25,Fresh Dead,N,MALE,ADULT,156,cm,actual,,,,Y,,,2005-AUG-29,2005,AUG,29,"Gaydos, J.",,
NW-2004-1049545,2004-SJ113,04NWR03018,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,Whale Museum,Whale Museum,NW,Lopez Island,San Juan,WA,Strait of Juan de Fuca,Jones Bay,48.27,deg/min/sec,actual,122.53,actual,Map,N,CBD,2004-MAR-05,2004,MAR,5,Beach or Land,,Fresh Dead,N,2005-MAR-05,2005,MAR,5,Fresh Dead,N,MALE,PUP/CALF,85,cm,actual,,,,Y,,,2005-AUG-15,2005,AUG,15,"Gaydos, J.",,
NW-2007-1067473,2007-SJ008,07NWR03022,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Orcas Island,San Juan,WA,President's Channel,On a beach somewhere in the North Beach area,48.4209,deg/min/sec,estimate,122.55,estimate,Map,N,CBD,2007-MAR-31,2007,MAR,31,,,Condition Unknown,Y,,,,,,N,UNKNOWN,UNKNOWN,0,cm,estimate,,,,N,,,,,,,,"This report was called in by an Orcas Island resident who is familiar with marine mammals. Unfortunately, the message was not heard until three days later and the animal had evidently washed out by that time.",
NW-2006-1072671,06Pv21NovWI-06,06NWR11057,"Porpoise, harbor",Phocoena,phocoena,Validated,Susan Berta,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Freeland,Island,WA,Useless Bay,,47.91845,decimal degrees,actual,122.55,actual,GPS,N,CBD,2006-NOV-21,2006,NOV,21,Beach or Land,,Moderate Decomposition,N,2006-NOV-19,2006,NOV,19,Moderate Decomposition,N,UNKNOWN,ADULT,62,in,estimate,63,lb,estimate,Y,,,2006-NOV-22,2006,NOV,22,S. Norman and CPSMMSN,"The animal was called in at 5pm Nov. 20th-RP said they found it the evening before Nov. 19. As it was dark, we asked the RP to secure the animal high up on the beach and responded the next morning. Susan and Marty responded in gale force winds and driving rain the morning of 11/21/06, found the porpoise and commandeered two young construcion workers to help haul it back to the car. Part of one side of the face has been scavenged, the body is intact though a bit bloated. Due to extreme weather conditions, two quick photos and GPS readings were taken on the beach, then we hauled it to the car. Susan later measured the porpoise, but could not access the porpoise in the back of the car well enough to determine gender or do a full examination. A necropsy is scheduled for Nov. 22 with Stephanie Norman and CPSMMSN team.",
NW-2006-1058649,MBHPp042706,06NWR04031,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer Organization,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Sequim,Clallam,WA,Strait of Juan de Fuca,Diamond Point,48.0534,deg/min/sec,actual,122.55,actual,Internet,N,N,2006-APR-27,2006,APR,27,Beach or Land,,Fresh Dead,N,2006-APR-27,2006,APR,27,Fresh Dead,N,MALE,SUBADULT,135,cm,actual,,,,Y,,,2006-JUN-21,2006,JUN,21,Raverty and Hanson,,
